timestep,win rate
52,0.5185
52052,0.487
104052,0.495
156052,0.4785
208052,0.4825
260052,0.4935
312052,0.498
364052,0.518
416052,0.4905
468052,0.5185
520052,0.5275
572052,0.505
624052,0.47
676052,0.52
728052,0.518
780052,0.4995
832052,0.513
884052,0.489
936052,0.451
988052,0.4455
1040052,0.481
1092052,0.4665
1144052,0.494
1196052,0.4765
1248052,0.4765
1300052,0.5215
1352052,0.476
1404052,0.5205
1456052,0.4695
1508052,0.4775
1560052,0.5115
1612052,0.5005
1664052,0.508
1716052,0.504
1768052,0.483
1820052,0.493
1872052,0.4985
1924052,0.486
1976052,0.4935
2028052,0.4985
2080052,0.5155
2132052,0.516
2184052,0.497
2236052,0.5155
2288052,0.4795
2340052,0.4725
2392052,0.4935
2444052,0.4795
2496052,0.526
2548052,0.5335
2600052,0.493
2652052,0.5055
2704052,0.503
2756052,0.4995
2808052,0.4755
2860052,0.4995
2912052,0.491
2964052,0.504
3016052,0.498
3068052,0.4915
3120052,0.503
3172052,0.516
3224052,0.499
3276052,0.511
3328052,0.491
3380052,0.531
3432052,0.496
3484052,0.533
3536052,0.4785
3588052,0.4985
3640052,0.4925
3692052,0.506
3744052,0.5245
3796052,0.515
3848052,0.5175
3900052,0.536
3952052,0.5005
4004052,0.5065
4056052,0.4885
4108052,0.4925
4160052,0.5055
4212052,0.5135
4264052,0.5015
4316052,0.511
4368052,0.532
4420052,0.53
4472052,0.5165
4524052,0.5325
4576052,0.542
4628052,0.523
4680052,0.542
4732052,0.528
4784052,0.5445
4836052,0.5165
4888052,0.5205
4940052,0.506
4992052,0.522
5044052,0.5125
5096052,0.53
5148052,0.4995
5200052,0.51
5252052,0.5015
5304052,0.515
5356052,0.532
5408052,0.51
5460052,0.5085
5512052,0.502
5564052,0.497
5616052,0.5195
5668052,0.494
5720052,0.5
5772052,0.526
5824052,0.5335
5876052,0.507
5928052,0.4945
5980052,0.521
6032052,0.5095
6084052,0.4985
6136052,0.5025
6188052,0.5115
6240052,0.5265
6292052,0.502
6344052,0.5
6396052,0.513
6448052,0.511
6500052,0.497
6552052,0.536
6604052,0.5215
6656052,0.5295
6708052,0.487
6760052,0.5185
6812052,0.5245
6864052,0.5255
6916052,0.4925
6968052,0.5125
7020052,0.519
7072052,0.5245
7124052,0.5255
7176052,0.51
7228052,0.4985
7280052,0.503
7332052,0.508
7384052,0.4935
7436052,0.5145
7488052,0.5025
7540052,0.499
7592052,0.495
7644052,0.5085
7696052,0.516
7748052,0.508
7800052,0.5135
7852052,0.512
7904052,0.5085
7956052,0.5075
8008052,0.5005
8060052,0.493
8112052,0.5075
8164052,0.524
8216052,0.513
8268052,0.4915
8320052,0.5035
8372052,0.5255
8424052,0.5395
8476052,0.533
8528052,0.476
8580052,0.5085
8632052,0.502
8684052,0.4935
8736052,0.501
8788052,0.5225
8840052,0.5285
8892052,0.5035
8944052,0.53
8996052,0.526
9048052,0.5285
9100052,0.522
9152052,0.523
9204052,0.5265
9256052,0.514
9308052,0.514
9360052,0.498
9412052,0.518
9464052,0.507
9516052,0.5025
9568052,0.504
9620052,0.508
9672052,0.497
9724052,0.5175
9776052,0.5185
9828052,0.509
9880052,0.511
9932052,0.5125
9984052,0.4965
10036052,0.492
10088052,0.5
10140052,0.508
10192052,0.497
10244052,0.5055
10296052,0.5005
10348052,0.5225
10400052,0.504
10452052,0.4985
10504052,0.533
10556052,0.5145
10608052,0.49
10660052,0.476
10712052,0.5005
10764052,0.5
10816052,0.5075
10868052,0.5295
10920052,0.517
10972052,0.5055
11024052,0.514
11076052,0.517
11128052,0.513
11180052,0.5155
11232052,0.5025
11284052,0.5275
11336052,0.517
11388052,0.5345
11440052,0.529
11492052,0.5275
11544052,0.5295
11596052,0.5125
11648052,0.5335
11700052,0.5225
11752052,0.538
11804052,0.531
11856052,0.518
11908052,0.504
11960052,0.503
12012052,0.529
12064052,0.5415
12116052,0.5205
12168052,0.5225
12220052,0.518
12272052,0.4915
12324052,0.4945
12376052,0.5075
12428052,0.524
12480052,0.509
12532052,0.4905
12584052,0.519
12636052,0.517
12688052,0.5255
12740052,0.4985
12792052,0.5165
12844052,0.526
12896052,0.517
12948052,0.4855
13000052,0.4825
13052052,0.5135
13104052,0.5085
13156052,0.529
13208052,0.501
13260052,0.539
13312052,0.487
13364052,0.5165
13416052,0.513
13468052,0.5075
13520052,0.5055
13572052,0.4795
13624052,0.4935
13676052,0.486
13728052,0.514
13780052,0.507
13832052,0.5035
13884052,0.507
13936052,0.5105
13988052,0.516
14040052,0.507
14092052,0.5235
14144052,0.5105
14196052,0.518
14248052,0.5215
14300052,0.5015
14352052,0.5045
14404052,0.523
14456052,0.5125
14508052,0.508
14560052,0.4945
14612052,0.506
14664052,0.5065
14716052,0.5185
14768052,0.504
14820052,0.5245
14872052,0.5075
14924052,0.4995
14976052,0.493
15028052,0.514
15080052,0.503
15132052,0.491
15184052,0.5235
15236052,0.4945
15288052,0.515
15340052,0.499
15392052,0.5
15444052,0.5035
15496052,0.5365
15548052,0.5305
15600052,0.5185
15652052,0.505
15704052,0.5455
15756052,0.495
15808052,0.4985
15860052,0.5085
15912052,0.521
15964052,0.515
16016052,0.5045
16068052,0.521
16120052,0.514
16172052,0.5095
16224052,0.523
16276052,0.528
16328052,0.509
16380052,0.5055
16432052,0.514
16484052,0.511
16536052,0.4875
16588052,0.502
16640052,0.5275
16692052,0.5095
16744052,0.488
16796052,0.5315
16848052,0.504
